ID,Domain,Method,Endpoint,OperationId,Auth,Role,RequestSchema,SuccessResponse,ErrorResponse,Priority,Summary
POST-chatbot-session-create,챗봇,POST,/api/chatbot/sessions,chatbot-session-create,NO,PUBLIC,-,201,,NORMAL,챗봇 세션 생성
DELETE-chatbot-session-end,챗봇,DELETE,/api/chatbot/sessions/{sessionId},chatbot-session-end,NO,PUBLIC,-,200,,NORMAL,챗봇 세션 종료
GET-chatbot-message-list,챗봇,GET,/api/chatbot/sessions/{sessionId}/messages,chatbot-message-list,NO,PUBLIC,-,200,,NORMAL,대화 이력 조회
POST-chatbot-message-send,챗봇,POST,/api/chatbot/sessions/{sessionId}/messages,chatbot-message-send,NO,PUBLIC,api-chatbot-sessions-sessionId-messages-645351721,201,,NORMAL,챗봇 메시지 전송
GET-content-get,콘텐츠,GET,/api/content/products/{productId}/contents,content-get,YES,ARTISAN,-,200,"403,404,401",NORMAL,콘텐츠 조회
GET-content-version-history,콘텐츠,GET,/api/content/products/{productId}/contents/versions,content-version-history,YES,ARTISAN,-,200,403,NORMAL,버전 이력 조회
PATCH-content-bulk-update,콘텐츠,PATCH,/api/content/products/{productId}/contents/{contentId},content-bulk-update,YES,ARTISAN,api-content-products-productId-contents-contentId150470655,200,422,NORMAL,문단 일괄 수정
POST-content-approve,콘텐츠,POST,/api/content/products/{productId}/contents/{contentId}/approve,content-approve,YES,ARTISAN,api-content-products-productId-contents-contentId-approve2046505670,200,422,NORMAL,콘텐츠 승인
PATCH-content-block-update,콘텐츠,PATCH,/api/content/products/{productId}/contents/{contentId}/blocks/{nodeId},content-block-update,YES,ARTISAN,api-content-products-productId-contents-contentId-blocks-nodeId357598061,200,404,NORMAL,단건 블록 수정
POST-content-reject,콘텐츠,POST,/api/content/products/{productId}/contents/{contentId}/reject,content-reject,YES,ARTISAN,-,200,422,NORMAL,콘텐츠 반려
POST-content-submit,콘텐츠,POST,/api/content/products/{productId}/contents/{contentId}/submit,content-submit,YES,ARTISAN,-,200,,NORMAL,검토 요청
POST-generation-request,AI 콘텐츠 생성,POST,/api/content/products/{productId}/generations,generation-request,YES,ARTISAN,api-content-products-productId-generations356953192,202,403,NORMAL,AI 상세페이지 생성 요청
GET-generation-poll-,AI 콘텐츠 생성,GET,/api/content/products/{productId}/generations/{generationId},generation-poll-,YES,ARTISAN,-,200,404,NORMAL,AI 생성 상태 조회 (COMPLETED)
GET-interview-find,콘텐츠,GET,/api/content/products/{productId}/interview,interview-find,YES,ARTISAN,-,200,404,NORMAL,취재 데이터 조회
POST-interview-create,콘텐츠,POST,/api/content/products/{productId}/interview,interview-create,YES,ARTISAN,api-content-products-productId-interview2125928306,201,"409,403",NORMAL,취재 데이터 등록
PATCH-interview-update,콘텐츠,PATCH,/api/content/products/{productId}/interview,interview-update,YES,ARTISAN,api-content-products-productId-interview515382983,200,"403,404",NORMAL,취재 데이터 수정
POST-content-publish,콘텐츠,POST,/api/content/products/{productId}/publish,content-publish,YES,ARTISAN,-,200,422,NORMAL,상품 게시
POST-image-presigned-url,이미지,POST,/api/images/presigned-url,image-presigned-url,YES,USER,api-images-presigned-url-449903825,200,"400,401",NORMAL,Presigned URL 발급 (AGENT)
DELETE-image-delete,이미지,DELETE,/api/images/{imageId},image-delete,YES,USER,-,200,"409,403",NORMAL,미사용 이미지 삭제
GET-artisan-list,장인,GET,/api/member/artisans,artisan-list,YES,USER,-,200,,NORMAL,장인 목록 조회
POST-seller-application-apply,판매자 신청,POST,/api/member/artisans/applications,seller-application-apply,YES,USER,api-member-artisans-applications-1305820327,201,,NORMAL,판매자 신청 제출
GET-seller-application-mine,판매자 신청,GET,/api/member/artisans/applications/me,seller-application-mine,YES,USER,-,200,,NORMAL,내 판매자 신청 조회
GET-artisan-mine,장인,GET,/api/member/artisans/me,artisan-mine,YES,USER,-,200,,NORMAL,내 장인 프로필 조회
