ID,유형,도메인,담당,시나리오,문제,전략,구현방법,비고
CONC-001,A.카운터차감,상품,강정훈,재고 1개 남은 상품(옵션 없음)에 동시 주문 요청,재고 체크 후 차감 사이에 다른 요청이 끼어들면 재고가 음수가 될 수 있음,조건부 원자적 UPDATE,UPDATE product SET stock = stock - :qty WHERE product_id = :id AND stock >= :qty → affected rows 0이면 재고부족,옵션 없는 단순 상품 한정. 옵션 있는 상품은 CONC-013 참고
CONC-013,A.카운터차감,상품,강정훈,옵션(예: 크기=대) 재고 1개 남은 상태에서 동시 주문,product_option_choice.stock도 동일하게 경쟁 상황 발생. REQUIRED 그룹이 1개(현재 정책)라 choice 자체가 SKU 역할,조건부 원자적 UPDATE,UPDATE product_option_choice SET stock = stock - :qty WHERE choice_id = :id AND stock >= :qty,REQUIRED 그룹이 2개 이상이면 이 전략 자체가 성립 안 함 — 개요 문서 3장 참고(다차원 옵션 조합 재고 미해결 이슈)
CONC-002,D.외부콜백재시도,결제,유창민,PG사(토스페이먼츠)가 네트워크 재시도로 결제승인 콜백을 동일 건 2회 이상 전송,승인 로직이 중복 실행되면 주문상태가 중복 갱신되거나 알림이 2번 발생할 수 있음,멱등키(Idempotency Key),"payment.payment_key에 UNIQUE 제약. 승인 처리 전 payment_key로 기존 처리 이력 조회 → 이미 있으면 처리 skip, 기존 결과를 그대로 200 응답",-
CONC-003,D.외부콜백재시도,결제,유창민,사용자가 '결제하기' 버튼을 더블클릭하여 주문생성 API가 거의 동시에 2번 호출됨,같은 장바구니 내용으로 주문이 2건 생성될 수 있음,멱등키(Idempotency Key),"FE가 요청마다 클라이언트 생성 UUID를 Idempotency-Key 헤더로 전송, BE는 최근 N분 내 처리 이력을 조회해 중복이면 기존 orderId 반환",버튼 비활성화(FE)와 병행
CONC-004,B.유일성보장,상품,강정훈,같은 상품을 찜 버튼 연타 또는 여러 탭에서 동시에 찜하기,"wishlist에 (memberId, productId) 조합이 중복 저장될 수 있음",DB 유니크 제약,"UNIQUE(member_id, product_id). INSERT 시 제약 위반 발생하면 이미 찜한 상태로 간주하고 정상 처리(200)로 흡수",-
CONC-005,C.상태전이,회원,유창민,관리자 2명이 동시에 같은 장인 가입신청을 승인/반려 처리,"이미 처리된 신청이 다시 처리되어 상태가 이랬다저랬다 바뀌거나, 회원 role이 중복 변경될 수 있음",낙관적 락(@Version) + 상태 전이 조건,"seller_application.version 컬럼. UPDATE ... WHERE application_id=:id AND status='PENDING' 조건, 조건 불일치 시 409 CONCURRENT_UPDATE",-
CONC-006,C.상태전이,콘텐츠,강정훈,장인이 여러 기기에서 동시에 같은 AI 생성 콘텐츠를 승인/반려,CONC-005와 동일 유형,낙관적 락(@Version) + 상태 전이 조건,content.version 컬럼. UPDATE ... WHERE content_id=:id AND status='PENDING_REVIEW' 조건,-
CONC-007,B.유일성보장(+A),이미지,유창민,"Presigned URL 발급 후, 다른 요청이 같은 objectKey를 먼저 소비(상품 등록에 사용)해버리는 경쟁",동일 objectKey가 서로 다른 두 상품/콘텐츠에 중복 연결될 수 있음(TOCTOU),조건부 원자적 UPDATE,image_upload.consumed 컬럼. UPDATE image_upload SET consumed=true WHERE image_id=:id AND consumed=false → affected rows 0이면 409 CONCURRENT_UPDATE,IMAGE-003(내부 검증 API) 호출 시 이 원자적 소비 처리를 함께 수행
CONC-008,E.단일성보장,회원,유창민,여러 탭에서 서로 다른 배송지를 동시에 '기본 배송지'로 설정,"기존 기본배송지 해제 + 신규 배송지 지정이 각각 별도 트랜잭션이면, 최종적으로 기본배송지가 2개 남거나 0개가 될 수 있음",트랜잭션 범위 조정,'기존 기본배송지 해제'와 '신규 배송지 기본 지정'을 하나의 @Transactional로 묶음. 레코드 수 적고 트랜잭션 짧아 락 불필요,-
CONC-014,E.단일성보장,결제,유창민,결제수단(카드) 여러 개 등록 후 동시에 서로 다른 카드를 '기본 결제수단'으로 설정,CONC-008과 동일 유형(기본배송지 ↔ 기본결제수단),트랜잭션 범위 조정,동일 패턴: 기존 기본수단 해제 + 신규 설정을 한 트랜잭션으로,결제수단 기능 자체가 보류(추후 구현) 상태 — 구현 시점에 반영
CONC-009,F.최신값만의미,알림,강정훈,동일 알림에 대해 읽음처리 API가 중복 호출됨(FE 리렌더링 등으로),사실상 문제 없음 — 이미 읽음(true)인 값을 다시 true로 덮어써도 결과가 같음,자연적 멱등성 (별도 조치 불필요),PATCH isRead=true는 몇 번을 호출해도 최종 상태가 동일한 멱등 연산,알림 기능 자체는 현재 백로그(MVP 제외) 상태
